congress,enact,senateDem,senateRep,appropriation,houseDem,houseRep,CPI,CPIgrowth,Appgrowth,CPIrel,propDem,propRep
80,906,47,53,1.01,43,57,65.2,0,0,1.01,45,55
81,921,56,44,1.12,61,39,72.6,11,11,1.12,59,42
82,594,51,49,1.2,54,46,82.4,26,19,1.27,53,48
83,781,49,51,1.29,49,51,90.9,39,28,1.4,49,51
84,1028,51,49,1.37,53,47,96.5,48,36,1.49,52,48
85,936,51,49,1.47,54,46,99.6,53,46,1.55,53,48
86,800,65,35,1.64,65,35,103.9,59,62,1.61,65,35
87,885,64,36,1.6,60,40,107.6,65,58,1.67,62,38
88,666,67,33,1.78,59,41,109.6,68,76,1.7,63,37
89,810,68,32,1.64,68,32,113.6,74,62,1.76,68,32
90,640,64,36,1.75,57,43,118.3,81,73,1.83,61,40
91,695,58,42,1.8,56,44,124,90,78,1.92,57,43
92,607,55,45,1.97,59,41,130.7,100,95,2.02,57,43
93,649,57,43,2.16,56,44,136.2,109,114,2.11,57,44
94,588,62,38,2.3,67,33,140.3,115,128,2.17,65,36
95,634,62,38,2.3,67,33,144.5,122,128,2.24,65,36
96,613,59,41,2.27,64,36,148.2,127,125,2.29,62,39
97,473,46,54,2.39,56,44,152.4,134,137,2.36,51,49
98,623,46,54,2.13,62,38,156.9,141,111,2.43,54,46
99,664,47,53,2.17,58,42,160.5,146,115,2.48,53,48
100,713,55,45,2.29,59,41,163,150,127,2.53,57,43
101,650,55,45,2.58,60,40,166.6,156,155,2.59,58,43
102,590,56,44,2.49,62,38,172.2,164,147,2.67,59,41
103,465,57,43,2.73,59,41,177.1,172,170,2.75,58,42
104,333,48,52,3.23,47,53,179.9,176,220,2.79,48,53
105,394,45,55,3.46,48,52,184,182,243,2.85,47,54
106,580,45,55,3.57,49,51,189,190,253,2.93,47,53
107,377,50,50,3.64,49,51,195.3,200,260,3.03,50,51
108,498,48,52,3.77,47,53,201.6,209,273,3.12,48,53
109,482,44,56,3.85,47,53,207.3,218,281,3.21,46,55
110,460,50,50,3.97,54,46,215.3,230,293,3.33,52,48
111,383,58,42,4.4,59,41,214.5,229,336,3.32,59,42
112,283,52,48,4.66,44,56,218.1,235,361,3.38,48,52
113,116,55,45,4.54,46,54,224.9,245,350,3.48,51,50